Biology,51,,Biology,91,37%
Archaeology,31,,Archaeology,31,13%
Environmental Science,27,,Social science,32,13%
Other,21,,Environmental Science,27,11%
Earth science,13,,Physcial Sciences,18,7%
Computer science,11,,Earth science,13,5%
Evolutionary Biology,10,,Computer science,11,4%
Neurobiology,10,,Mathematics,3,1%
Chemistry,9,,Other,21,9%
Physics,9,,,,
Life science,8,,,,
Psychology,8,,,,
Sociology,8,,,,
Bioinformatics,7,,,,
Social science,7,,,,
Anthropology,6,,,,
Biochemistry,5,,,,
Mathematics,3,,,,
Economics,3,,,,
